    Date    |   Hours   |   Description                                 |
------------|-----------|-----------------------------------------------|
   21/03/9  |   2       |   Project Meeting                             |
   21/03/10 |   3       |   Project Meeting                             |
   21/03/11 |   2       |   Creating Vision List                        |
   21/03/16 |   3.5     |   Creating architecture meeting class Diagram |
   21/04/09 |   4       |   Fixing TOMEE server connection locally      |
 
